ADM3_PCODE,ADM3_EN,date,forecast_cases,step_ahead
ET070205,Misrak Badawacho,2025-01-01,157.75967,1
ET010215,Ahsea,2025-01-01,146.11153,1
ET010217,Hahayle,2025-01-01,74.00693,1
ET070204,Shashogo,2025-01-01,184.83884,1
ET070604,Humbo,2025-01-01,221.1474,1
ET070202,Gombora,2025-01-01,259.47565,1
ET070616,Tebela town,2025-01-01,60.517754,1
ET070606,Kindo Koyesha,2025-01-01,559.41144,1
ET160029,Chabe Gambeltu,2025-01-01,9.306641,1
ET010213,Axum town,2025-01-01,157.6296,1
ET070201,Misha,2025-01-01,5.043512,1
ET070603,Damot Woide,2025-01-01,187.92322,1
ET070605,Sodo Zuria,2025-01-01,250.0588,1
ET010214,Rama,2025-01-01,326.27768,1
ET070206,Soro,2025-01-01,180.60571,1
ET070104,Gedebano Gutazer Welene,2025-01-01,5.5440793,1
ET010308,Adigrat town,2025-01-01,16.868908,1
ET010216,Egela,2025-01-01,17.47317,1
ET010101,Tahtay Adiyabo,2025-01-01,863.3572,1
ET010112,Adi Hageray,2025-01-01,270.9287,1
ET070615,Boditi town,2025-01-01,173.54045,1
ET070504,Bule,2025-01-01,4.1460743,1
ET070609,Damot Sore,2025-01-01,200.55573,1
ET070306,Doyogena,2025-01-01,18.146852,1
ET010201,Chila,2025-01-01,383.6865,1
ET010109,Selekleka,2025-01-01,213.53699,1
ET070114,Welkite town,2025-01-01,216.52965,1
ET070109,Gumer,2025-01-01,2.0994804,1
ET070305,Hadero Tunto,2025-01-01,183.11397,1
ET070618,Gununo Hamus town,2025-01-01,164.53412,1
ET010202,Aheferom,2025-01-01,157.2006,1
ET070304,Kacha Bira,2025-01-01,127.36176,1
ET070505,Dila Zuria,2025-01-01,120.7296,1
ET010222,Tanqua Melashe,2025-01-01,201.88501,1
ET010108,Indasilassie town,2025-01-01,842.0584,1
ET010203,Edaga arbi,2025-01-01,102.39238,1
ET070612,Duguna Fango,2025-01-01,213.94069,1
ET010305,Hawzen,2025-01-01,161.36066,1
ET070506,Gedeb,2025-01-01,23.398598,1
ET160032,Bilate Zuria,2025-01-01,121.604576,1
ET070302,Angacha,2025-01-01,18.261202,1
ET070115,Butajira town,2025-01-01,150.46507,1
ET070108,Endiguagn,2025-01-01,5.9944367,1
ET160035,Chuko town,2025-01-01,50.22231,1
ET010304,Ganta Afeshum,2025-01-01,15.0669365,1
ET010301,Gulo Mekeda,2025-01-01,13.068746,1
ET010116,May Tsebri town,2025-01-01,41.838665,1
ET070307,Damboya,2025-01-01,24.39491,1
ET070610,Kindo Daddaye,2025-01-01,189.2292,1
ET070111,Enemor Ener,2025-01-01,84.557945,1
ET070312,Hadero town,2025-01-01,86.13973,1
ET010302,Erob,2025-01-01,39.66316,1
ET010113,Tsimbla,2025-01-01,876.8841,1
ET070501,Wenago,2025-01-01,38.374695,1
ET070310,Shinshincho town,2025-01-01,49.864635,1
ET160034,Daella,2025-01-01,2.1775737,1
ET010303,Saesie,2025-01-01,12.579907,1
ET010114,Endabaguna town,2025-01-01,238.38101,1
ET070112,Muhur Na Aklil,2025-01-01,11.68123,1
ET070301,Tembaro,2025-01-01,449.93396,1
ET070309,Adilo,2025-01-01,163.20818,1
ET070502,Yirgachefe,2025-01-01,25.030783,1
ET010111,Adi Daero,2025-01-01,197.7598,1
ET010115,Dima (TG),2025-01-01,31.178976,1
ET070308,Durame town,2025-01-01,99.603966,1
ET160033,Darara,2025-01-01,121.6863,1
ET160027,Chirone,2025-01-01,11.139894,1
ET070110,Cheha,2025-01-01,153.62431,1
ET070503,Kochere,2025-01-01,34.86513,1
ET070611,Damot Pullasa,2025-01-01,447.7383,1
ET070113,Geta,2025-01-01,1.7439624,1
ET010110,Seyemti Adyabo,2025-01-01,75.93863,1
ET070619,Hobicha Abaya,2025-01-01,191.04976,1
ET070207,Duna,2025-01-01,8.155734,1
ET010221,Keyhe tekli,2025-01-01,295.17453,1
ET010204,Adwa,2025-01-01,203.83742,1
ET070511,Gedeb town,2025-01-01,10.478167,1
ET070614,Areka town,2025-01-01,411.77567,1
ET070211,Hosaena town,2025-01-01,141.85756,1
ET010219,Emba Sieneti,2025-01-01,156.29063,1
ET010210,Abergele (TG),2025-01-01,480.77106,1
ET070106,Meskan,2025-01-01,12.677101,1
ET160036,Wondo-Genet town,2025-01-01,44.774418,1
ET070210,Gibe,2025-01-01,175.3314,1
ET070512,Yirgachefe town,2025-01-01,23.2129,1
ET010211,Abi Adi town,2025-01-01,159.60582,1
ET070607,Ofa,2025-01-01,151.09145,1
ET070209,Mirab Badowach,2025-01-01,156.66191,1
ET070119,Debub Sodo,2025-01-01,120.41598,1
ET010307,Atsbi,2025-01-01,27.518906,1
ET010103,Zana,2025-01-01,727.4299,1
ET010218,Endafelasi,2025-01-01,217.8449,1
ET010212,Adwa town,2025-01-01,184.47115,1
ET160030,Daye town,2025-01-01,23.409859,1
ET070208,Analemmo,2025-01-01,17.788292,1
ET070602,Damot Gale,2025-01-01,242.12943,1
ET070105,Sodo,2025-01-01,19.48679,1
ET070120,Enor Ener,2025-01-01,56.457886,1
ET010102,Laelay Adiabo,2025-01-01,290.5589,1
ET010209,Naeder,2025-01-01,199.36397,1
ET070617,Gesuba town,2025-01-01,186.25897,1
ET070118,Misrak Meskan,2025-01-01,27.721628,1
ET010104,Tahtay Koraro,2025-01-01,658.61053,1
ET160026,Teticha,2025-01-01,7.5969214,1
ET070217,Mirab Soro,2025-01-01,41.43721,1
ET010107,Sheraro town,2025-01-01,831.4477,1
ET070116,Emdebir town,2025-01-01,12.892332,1
ET010206,Tahtay Mayechew,2025-01-01,334.1273,1
ET070508,Chelelektu town,2025-01-01,117.52114,1
ET070608,Boloso Bombe,2025-01-01,496.724,1
ET070613,Sodo Town,2025-01-01,560.3258,1
ET010220,Enticho town,2025-01-01,7.40364,1
ET070216,Siraro Badawacho,2025-01-01,26.961052,1
ET070107,Mareko,2025-01-01,166.71873,1
ET070507,Dila town,2025-01-01,894.63116,1
ET010106,Tselemti,2025-01-01,32.527798,1
ET070117,Bui town,2025-01-01,4.7006874,1
ET070214,Jajura town,2025-01-01,14.906335,1
ET070509,Rape,2025-01-01,5.9566755,1
ET160031,Hokko,2025-01-01,34.02539,1
ET010105,Asgede,2025-01-01,894.21234,1
ET070213,Gimbichu town,2025-01-01,30.37976,1
ET160028,Shafamo,2025-01-01,4.878804,1
ET070212,Shone Town,2025-01-01,147.49678,1
ET070510,Churso,2025-01-01,13.434464,1
ET010306,Kelete Awelallo,2025-01-01,11.102892,1
ET070620,Kawo Koisha,2025-01-01,192.21931,1
ET010207,Adet,2025-01-01,343.33774,1
ET010208,Kola Temben,2025-01-01,622.71277,1
ET071503,Zala,2025-01-01,257.77124,1
ET160025,Dara Otilicho,2025-01-01,11.040495,1
ET041111,Harena Buluk,2025-01-01,24.61821,1
ET030904,Guangua,2025-01-01,539.91943,1
ET041110,Goba (OR),2025-01-01,2.4537103,1
ET041109,Sinana,2025-01-01,18.68765,1
ET030905,Fagta Lakoma,2025-01-01,24.01029,1
ET072401,Yem SP Woreda,2025-01-01,139.74687,1
ET030906,Jawi,2025-01-01,1906.5825,1
ET041106,Gasera,2025-01-01,21.414434,1
ET120308,Mengesh,2025-01-01,2379.6228,1
ET041104,Agarfa,2025-01-01,19.692774,1
ET030903,Ankasha,2025-01-01,148.51546,1
ET030907,Guagusa Shikudad,2025-01-01,115.353806,1
ET041098,Kumbi,2025-01-01,29.06805,1
ET030908,Ayehu Guwagusa,2025-01-01,772.951,1
ET110101,Anderacha,2025-01-01,39.216812,1
ET030996,Injibara town,2025-01-01,133.89706,1
ET041097,Deder town,2025-01-01,3.4683912,1
ET030997,Zigem,2025-01-01,551.4052,1
ET041089,Goro Muti,2025-01-01,16.364721,1
ET120206,Gambela town,2025-01-01,3302.3018,1
ET041019,Haromaya town,2025-01-01,10.447962,1
ET030998,Dangila town,2025-01-01,36.74658,1
ET041099,Aweday town,2025-01-01,13.125367,1
ET041112,Mena (Bale),2025-01-01,17.670477,1
