ADM3_PCODE,ADM3_EN,ADM1_EN,annual_need_al,annual_need_art,time_hr,burden_tier,population,weight,floor,time_norm,al_allocation,al_coverage_pct
ET010101,Tahtay Adiyabo,Tigray,13981.58,432.42,35.21515967610096,high,76768.17188,3,4194.474,0.8516894690980157,13981.58,100.0
ET010102,Laelay Adiabo,Tigray,0.0,0.0,33.760354051085685,moderate,63908.66797,2,0.0,0.8130969293020553,0.0,
ET010103,Zana,Tigray,9183.96,284.04,34.622718654093674,high,62728.41406,3,2755.1879999999996,0.8359734151280322,9183.96,100.0
ET010104,Tahtay Koraro,Tigray,9145.16,282.84000000000003,33.40617517561935,high,139743.6406,3,2743.548,0.8037014044901551,9145.16,100.0
ET010105,Asgede,Tigray,24020.11,742.89,35.34301681841471,high,115381.9609,3,7206.033,0.8550812155747242,24020.11,100.0
ET010106,Tselemti,Tigray,0.0,0.0,35.919108953558684,low,94959.0625,1,0.0,0.870363572385415,0.0,
ET010107,Sheraro town,Tigray,7932.66,245.34,35.59965695682664,high,33109.67969,3,2379.798,0.8618892692312388,7932.66,100.0
ET010108,Indasilassie town,Tigray,10707.83,331.17,33.06157705341427,high,61211.96094,3,3212.3489999999997,0.7945600343193646,10707.83,100.0
ET010109,Selekleka,Tigray,9374.08,289.92,34.00939521293293,moderate,103312.4375,2,937.408,0.8197034001488539,9374.08,100.0
ET010110,Seyemti Adyabo,Tigray,3069.08,94.92,34.678463821551475,low,61398.60156,1,0.0,0.8374522020921155,3069.08,100.0
ET010111,Adi Daero,Tigray,4569.67,141.32999999999998,33.91566724441478,moderate,24706.55078,2,456.96700000000004,0.8172170196366852,4569.67,100.0
ET010112,Adi Hageray,Tigray,4005.13,123.87,35.01197774274144,moderate,49906.78906,2,400.51300000000003,0.8462995347217893,4005.13,100.0
ET010113,Tsimbla,Tigray,7243.96,224.04,33.979368358637416,high,103628.2109,3,2173.188,0.8189068589825143,7243.96,100.0
ET010114,Endabaguna town,Tigray,2624.82,81.17999999999999,33.71144189904376,moderate,18734.40039,2,262.482,0.8117994060166582,2624.82,100.0
ET010115,Dima (TG),Tigray,0.0,0.0,38.871179091774536,low,94277.3125,1,0.0,0.9486749854914547,0.0,
ET010116,May Tsebri town,Tigray,2513.27,77.73,35.304645164503526,low,13814.865230000001,1,0.0,0.8540633066835699,2513.27,100.0
ET010201,Chila,Tigray,9470.11,292.89,34.940059649208976,moderate,69931.24219,2,947.0110000000001,0.8443917184204383,9470.11,100.0
ET010202,Aheferom,Tigray,2974.02,91.98,36.39995313023109,moderate,132776.7969,2,297.402,0.8831192269586442,2974.02,100.0
ET010203,Edaga arbi,Tigray,14896.29,460.71,36.84531820773062,moderate,60005.22656,2,1489.6290000000001,0.894933705251544,14896.29,100.0
